id,categories,description
205,Electoral Organization,"The Mission recognizes that elections in Guyana make enormous demands on available human resources. Poll workers are basically civic-minded volunteers of whom much is demanded. Recruiting, training, and addressing the legitimate concerns of nearly 10,000 poll workers is a major challenge. The possibility of reducing the number of these workers, without sacrificing the needs of voters, should be considered before the next elections."
205,Electoral Organization,"Transparency in attitude and practice on the part of election administrators can provide at least a partial antidote for the deep distrust of elections in Guyana that was visible again in 2001. The Mission regards this not as a “public relations campaign,” but as a culture and a way of doing business. In 2001, the Commission made some movement towards transparency. However, the efforts taken by the Commission or the Chief Elections Officer to restrict access to electoral installations after the balloting and the silence or defensiveness that sometimes followed legitimate questions evidence the need for a more transparent approach. The Mission realizes the importance of physical security for employees of the Elections Commission and the need to protect important documents and records, but it suggests that there is a balance that permits complete transparency and fulfills security requirem"
205,Electoral Organization,"Voter education in 2001 was difficult because key elements of the new election law were adopted so late. Having a period of learning and adjustment before new constitutional and legal changes must be tested at the polling place, as suggested in the Herdmanston Accord, makes considerable sense. In 2001, the voters of Guyana cannot be blamed for not knowing the law or procedure, and it is easy to understand why the effective campaign that emphasized the centrality of the voter identification card in 1997 remained in the minds of many. The Mission recommends that substantive steps be taken well in advance of elections to educate potential electors on the efforts that are being undertaken to strengthen the efficiency and accessibility of the electoral system."
205,"Electoral Organization, Political and Legal Systems",Transparency of the electoral process and access are vital prerequisites for the effective functioning of international and local observer groups. Impediments to access such as non-compliance with the letter and the spirit of international agreements concluded between the authorities and observation missions like that of the OAS should be avoided at all costs.
205,"Electoral Organization, Political and Legal Systems","Legal and constitutional changes in Guyana had been made in the direction of geographic constituencies in addition to voting for national lists. However, the political parties did not make available the names of persons who would fill those geographic posts in the National Assembly in advance of the election. The Mission believes that, at a minimum, voters deserve to know who will fill the geographic positions in the National Assembly, should their party win seats at the regional level"
205,"Electoral Organization, Under Represented Groups","In view of the controversies that surrounded the preparation of the OLE and the widespread suspicion that the results were not accurate, the organization and conduct of a credible national census should be considered, in order more accurately to be able to extract the list of eligible voters."
357,Electoral Organization,"The creation of the NMCM represents an important step in providing sustained civil society participation in the electoral and political processes of St. Vincent and the Grenadines. The NMCM should continue to receive support from the Government and seek additional funding from other sources. Moreover, it should contemplate conducting other activities to promote democracy between elections, such as civic education campaigns and good governance programs. The international community has been particularly active in providing technical guidance and training to nascent civil society organizations such as this one, and the NMCM should seek such assistance."
357,Electoral Organization,"The Mission was not present during the registration period. Many political party leaders complained that their supporters were not able to have their transfers processed in time to vote in the constituency where they resided. Others complained that some voters had transferred without fulfilling the minimum six-month residence requirement in the constituency. As stated in the Representation of the People Act, the continuous registration period should extend 15 days beyond the writ establishing election day to allow for new registrants and transfers. In his report of the 1998 elections, however, the Supervisor of Elections complained that the 15-day stipulation put “tremendous strain on the staff of the Electoral Office who must ensure that all persons seeking registration have not previously been registered.” In the same report, he further notes: “unscrupulous persons encourage electors to cheat the system by moving from one constituency to another during this period when hardly any verification of their claims can be made because of the short time period.”5 Political leaders and the electoral authorities should seek a compromise that will still allow for last minute registration and transfers, yet provide the Electoral Office with the time to verify the eligibility of these applicants."
357,Electoral Organization,"Training should be provided to print, radio, and television journalists in St. Vincent and the Grenadines in an effort to make reporting more professional and objective. As noted in the observations section of this report, the print media in particular, demonstrated a bias toward one political party. While newspapers, as well as radios, and television stations often make known their editorial preferences, they usually strive to provide a balanced coverage of “hard news.” Such objectivity should include equitable space (or time, in the case of radio and television stations) for all parties and candidates and objective language to describe the events being reported."
357,Electoral Organization,"During the voting process, poll clerks record the gender of each voter. This information is recorded at the close of the polls but is not consolidated in any systematic way. The Electoral Office should consider consolidating this information to determine voter participation by gender in the country."
357,"Electoral Organization, Political and Legal Systems","The participation of the Christian Council and the National Monitoring and Consultative Mechanism (NMCM) significantly contributed to the civility and tranquility with which these elections were conducted. Some political parties complained, however, that the Christian Council did not actively enforce the Code of Conduct. Electoral legislation should contemplate officially recognizing the NMCM as an actor in the electoral process and provide it with a legal mandate to observe the electoral process of the country. Similarly, existing electoral legislation should be modified to contemplate the future presence of international observation missions."
357,Gender,"Unprecedented in Vincentian elections, 6 of 42 candidates were women, of which 2 won their seats in Parliament. While the representation of women as candidates and as members of parliament has increased dramatically, efforts should continue to encourage women to assume leadership positions in the political process of the country. The 13 percent female representation in the newly elected Parliament still does not correspond to the more than 50 percent women who are registered to vote."
357,Media,"Government and civil society should increase efforts to guarantee equal access to government run media. Through the work of the Christian Council and the signing of the Code of Conduct, an important step to ensuring equal access to the media has been taken. Given the proper training and resources, the NMCM or another civil society organization could monitor access to the media during an electoral process."
357,Political Financing,"Political party leaders with whom the Mission met conceded that the cost of running these elections had increased substantially compared to past elections. They noted that there is no legislation requiring the political parties to disclose the source of their financing or the exact cost of their campaigns. Political party leaders, in coordination with civil society and the media, should explore possible options that would require the disclosure of source and use of funds and campaign spending limits. Campaign-financing legislation should also identify an authority to enforce disclosure."
205,Electoral Organization,"Once again in 2001, the Elections Commission made a number of late decisions and announcements, including the delayed closing of polling stations. Such decisions are extremely disruptive and do damage to the credibility of the process. They should be avoided at all costs."
205,Electoral Organization,"The high voter turnout demonstrates that people are fully aware of the importance of fulfilling their civic duty. Despite the troubling history of elections, they continue to believe that their will can be reflected in electoral outcomes. However, the continuing reality of electoral administration does not appear to be changing perceptibly. Greater efforts must be made to improve the administration of elections and thereby reduce the number of difficulties, procedural shortcomings, and irregularities that create suspicion and undermine the credibility of the process. These efforts should begin immediately, to allow the maximum possible time for their implementation prior to the next elections."
205,Electoral Organization,"The Mission is of the view that statutory arrangements or timely decisions regarding the number and location of polling stations would have alleviated many problems experienced by potential voters during the 2001 elections. Similarly, the early release of guidelines or of information on the procedures for addressing omissions of voters’ names from the lists of voters at polling stations would have been immensely helpful."
205,Electoral Organization,"The Mission recognizes that elections in Guyana make enormous demands on available human resources. Poll workers are basically civic-minded volunteers of whom much is demanded. Recruiting, training, and addressing the legitimate concerns of nearly 10,000 poll workers is a major challenge. The possibility of reducing the number of these workers, without sacrificing the needs of voters, should be considered before the next elections."
205,Electoral Organization,"Transparency in attitude and practice on the part of election administrators can provide at least a partial antidote for the deep distrust of elections in Guyana that was visible again in 2001. The Mission regards this not as a “public relations campaign,” but as a culture and a way of doing business. In 2001, the Commission made some movement towards transparency. However, the efforts taken by the Commission or the Chief Elections Officer to restrict access to electoral installations after the balloting and the silence or defensiveness that sometimes followed legitimate questions evidence the need for a more transparent approach. The Mission realizes the importance of physical security for employees of the Elections Commission and the need to protect important documents and records, but it suggests that there is a balance that permits complete transparency and fulfills security requirem"
205,Electoral Organization,"Voter education in 2001 was difficult because key elements of the new election law were adopted so late. Having a period of learning and adjustment before new constitutional and legal changes must be tested at the polling place, as suggested in the Herdmanston Accord, makes considerable sense. In 2001, the voters of Guyana cannot be blamed for not knowing the law or procedure, and it is easy to understand why the effective campaign that emphasized the centrality of the voter identification card in 1997 remained in the minds of many. The Mission recommends that substantive steps be taken well in advance of elections to educate potential electors on the efforts that are being undertaken to strengthen the efficiency and accessibility of the electoral system."
205,"Electoral Organization, Political and Legal Systems",Transparency of the electoral process and access are vital prerequisites for the effective functioning of international and local observer groups. Impediments to access such as non-compliance with the letter and the spirit of international agreements concluded between the authorities and observation missions like that of the OAS should be avoided at all costs.
205,"Electoral Organization, Political and Legal Systems","Legal and constitutional changes in Guyana had been made in the direction of geographic constituencies in addition to voting for national lists. However, the political parties did not make available the names of persons who would fill those geographic posts in the National Assembly in advance of the election. The Mission believes that, at a minimum, voters deserve to know who will fill the geographic positions in the National Assembly, should their party win seats at the regional level"
205,"Electoral Organization, Under Represented Groups","In view of the controversies that surrounded the preparation of the OLE and the widespread suspicion that the results were not accurate, the organization and conduct of a credible national census should be considered, in order more accurately to be able to extract the list of eligible voters."
357,Electoral Organization,"The creation of the NMCM represents an important step in providing sustained civil society participation in the electoral and political processes of St. Vincent and the Grenadines. The NMCM should continue to receive support from the Government and seek additional funding from other sources. Moreover, it should contemplate conducting other activities to promote democracy between elections, such as civic education campaigns and good governance programs. The international community has been particularly active in providing technical guidance and training to nascent civil society organizations such as this one, and the NMCM should seek such assistance."
357,Electoral Organization,"The Mission was not present during the registration period. Many political party leaders complained that their supporters were not able to have their transfers processed in time to vote in the constituency where they resided. Others complained that some voters had transferred without fulfilling the minimum six-month residence requirement in the constituency. As stated in the Representation of the People Act, the continuous registration period should extend 15 days beyond the writ establishing election day to allow for new registrants and transfers. In his report of the 1998 elections, however, the Supervisor of Elections complained that the 15-day stipulation put “tremendous strain on the staff of the Electoral Office who must ensure that all persons seeking registration have not previously been registered.” In the same report, he further notes: “unscrupulous persons encourage electors to cheat the system by moving from one constituency to another during this period when hardly any verification of their claims can be made because of the short time period.”5 Political leaders and the electoral authorities should seek a compromise that will still allow for last minute registration and transfers, yet provide the Electoral Office with the time to verify the eligibility of these applicants."
357,Electoral Organization,"Training should be provided to print, radio, and television journalists in St. Vincent and the Grenadines in an effort to make reporting more professional and objective. As noted in the observations section of this report, the print media in particular, demonstrated a bias toward one political party. While newspapers, as well as radios, and television stations often make known their editorial preferences, they usually strive to provide a balanced coverage of “hard news.” Such objectivity should include equitable space (or time, in the case of radio and television stations) for all parties and candidates and objective language to describe the events being reported."
357,Electoral Organization,"During the voting process, poll clerks record the gender of each voter. This information is recorded at the close of the polls but is not consolidated in any systematic way. The Electoral Office should consider consolidating this information to determine voter participation by gender in the country."
357,"Electoral Organization, Political and Legal Systems","The participation of the Christian Council and the National Monitoring and Consultative Mechanism (NMCM) significantly contributed to the civility and tranquility with which these elections were conducted. Some political parties complained, however, that the Christian Council did not actively enforce the Code of Conduct. Electoral legislation should contemplate officially recognizing the NMCM as an actor in the electoral process and provide it with a legal mandate to observe the electoral process of the country. Similarly, existing electoral legislation should be modified to contemplate the future presence of international observation missions."
357,Gender,"Unprecedented in Vincentian elections, 6 of 42 candidates were women, of which 2 won their seats in Parliament. While the representation of women as candidates and as members of parliament has increased dramatically, efforts should continue to encourage women to assume leadership positions in the political process of the country. The 13 percent female representation in the newly elected Parliament still does not correspond to the more than 50 percent women who are registered to vote."
357,Media,"Government and civil society should increase efforts to guarantee equal access to government run media. Through the work of the Christian Council and the signing of the Code of Conduct, an important step to ensuring equal access to the media has been taken. Given the proper training and resources, the NMCM or another civil society organization could monitor access to the media during an electoral process."
357,Political Financing,"Political party leaders with whom the Mission met conceded that the cost of running these elections had increased substantially compared to past elections. They noted that there is no legislation requiring the political parties to disclose the source of their financing or the exact cost of their campaigns. Political party leaders, in coordination with civil society and the media, should explore possible options that would require the disclosure of source and use of funds and campaign spending limits. Campaign-financing legislation should also identify an authority to enforce disclosure."
194,Electoral Organization,"It may also be useful to rationalize the distribution of polling stations, with a view to eliminating locations servicing very small populations, especially where these exist in close proximity to larger stations."
194,Electoral Organization,"The Parliamentary Elections Office should consider including among its regular activities a sustained public-education campaign on the laws, regulations, and responsibilities of the citizenry. In this education thrust, every effort should be made to involve civil society. In order to ensure that the activities of the Parliamentary Elections Office are properly monitored and consistently managed, the Government should appoint a permanent, full¬time officer to the post of Supervisor of Elections."
194,Electoral Organization,"The Supervisor of Elections should establish minimum standards for: • The physical location and layout of polling stations, particularly with a view to facilitating access for the elderly, infirm, and physically challenged • The external identification of polling stations and any sub-stations thereof • The design and placement of posters bearing voting instructions"
194,Electoral Organization,"The Government of Grenada and the Parliamentary Elections Office should consider satisfying the expressed desire of a number of citizens for a new system of continuous registration, which would include a mechanism for periodic review and sanitization of the voters’ list. The Mission is of the view that the hard-won advances achieved by Grenada in promoting democracy can only be eroded by the perpetuation of a situation that challenges the credibility of one of the key elements in the electoral process: the electoral register or list of eligible voters. Serious efforts should be considered to rationalize the list. Although continuous registration would be helpful, by itself it would not resolve the problem. In fact, easing registration might only result in increasing the number of names on the list, unless prior to the institution of continuous registration, a new electoral census or house-to-house enumeration of eligible voters is conducted. Especially in the current allocation of parliamentary seats, the Mission respectfully suggests that any registration system or electoral census be planned with complete transparency, including the involvement of representatives of all parties and civil society. Observers also noted that the system carried out by the General Registry, the registry of vital statistics or civil registry, for the collection and notification of the names of deceased persons is not functioning well. The result in terms of elections is that the names of the deceased are reported slowly and sporadically to the Parliamentary Elections Office, making it difficult to remove those names in a timely manner from the list of eligible voters. It is important that the management systems and operations at the civil registry also be strengthened, so that full use of the computer hardware and software provided by the OAS can be made."
194,Electoral Technology,"It is imperative that a qualified, experienced systems administrator be appointed to run and maintain the computer systems at the Parliamentary Elections Office, which have been installed by the OAS/UPD. It should be noted that in many CARICOM countries the same person performs similar duties at the civil registry, maintaining its computerized database and systems, producing reports, and responding to the need of citizens for accurate, up-to¬date information."
170,Electoral Justice,"Principio de Preclusión. Como parte del mandato de la Nueva Constitución Política del Estado, está en trámite en la Asamblea Legislativa Plurinacional una nueva ley electoral. Sería importante que esa ley analice, entre otros elementos, los alcances y el funcionamiento del principio de preclusión, de modo que los futuros Tribunales Electorales Departamentales tengan herramientas más adecuadas y funcionales de dirimir controversias electorales."
170,Electoral Organization,"Libre movilidad. No es posible concluir estas sugerencias sin referirnos a la necesidad de que las autoridades electorales y legislativas bolivianas analicen la permanencia de la prohibición a la libre movilidad durante el día de las elecciones. Esta medida, seguramente adecuada cuando la tecnología electoral no era tan avanzada como ahora, genera muchos inconvenientes a la población y escasos beneficios al sistema electoral. Anteriormente diferentes misiones electoral de la OEA ha sugerido revisar esta normativa y la MOE considera que la próxima redacción y aprobación de una nueva norma electoral genera las condiciones propicias para que esta norma sea derogada."
170,Gender,"Paridad de género. Bolivia ha avanzado enormemente en la paridad de género en puestos ejecutivos y es un mérito que necesariamente se le debe reconocer. Sin embargo, para estas elecciones, las mujeres sólo significaron el 20% en las listas de candidaturas departamentales territoriales y apenas el 7% en las candidaturas para las gobernaciones."
170,Political Financing,"Reglamentar el financiamiento de campañas y partidos políticos. Durante la gestión legislativa anterior, las autoridades bolivianas decidieron eliminar el financiamiento de recursos públicos para los partidos políticos y las campañas electorales. Esta decisión, que pudo ser en su momento adecuada considerando la coyuntura política, ha demostrado sin embargo que implica importantes perjuicios a la hora de garantizar la transparencia y la equidad del proceso electoral. En ese sentido, se sugiere considerar la posibilidad de establecer fórmulas que permitan que los partidos y agrupaciones ciudadanas tengan acceso a un financiamiento controlado y promovido por el Estado y que sea objeto de rendiciones de cuentas rigurosas y periódicas."
223,Electoral Organization,"La Misión ha constatado que el censo electoral está desactualizado. Un ejemplo de esto es la presencia en el censo de cédulas de ciudadanos fallecidos. Asimismo, se ha recibido información sobre imprecisiones en los datos demográficos. Dado que éstos cambian constantemente, existe la necesidad de que el censo sea actualizado y depurado de manera continua. De esta forma, se podrá garantizar la transparencia y confiabilidad del mismo. En este sentido, la Misión considera impostergable la tarea de auditar, depurar y actualizar el Censo. En el largo plazo se sugiere que el censo electoral sea formulado mediante un sistema de registro biométrico aplicado a la totalidad de los ciudadanos. Este registro debería conformarse con los datos referidos a la identidad del ciudadano como también las huellas dactilares, fotografía digital y otros que se determinen necesarios."
223,Electoral Organization,"El actual sistema no prevé que los testigos partidarios se queden con una copia de las actas de escrutinio. Ciertamente, dada la gran diversidad de frentes en competencia en la parlamentaria, existen razones que impiden que cada organización cuente con una copia pero es importante para la transparencia del proceso y para un mejor control por parte de los actores que se encuentre un mecanismo que les permita tener acceso a una copia oficial del documento clave de la elección. En cambio, en la presidencial, cuando el número de competidores disminuye, resulta más fácil organizar la distribución de copias. Asimismo, se tendría que prever que el envío de información para el conteo rápido se haga a partir de una copia del acta en lugar de exigir que los jurados llenen otro documento con información que debiera ser idéntica pero que puede ser fuente de errores y confusiones."
223,Electoral Organization,"La Registraduría dispuso el cambio de Registradores Departamentales a muy poco de la realización de las elecciones legislativa y presidencial, como un mecanismo suplementario para garantizar la transparencia. Sin embargo, la Misión pudo constatar que muchos de los Registradores no tenían un conocimiento preciso de las nuevas unidades territoriales que se les había asignado ni de los actores, lo que en lugar de afianzar el proceso electoral lo perjudicaba. Además, ese desconocimiento los colocaba en condiciones de inferioridad ante los actores locales en las reuniones del comité de seguimiento electoral. Convendría que la Registraduría estudie medios alternativos y preventivos para mejorar la transparencia sin afectar el desarrollo logístico y técnico de la elección ni perder el liderazgo del proceso que debe estar en manos de los Registradores Departamentales."
223,Electoral Organization,"La legislación prevé que el cierre de las mesas se realiza de manera tajante a las 4 de la tarde, dejando sin participar a electores que pudiesen estar en la fila (una situación que fue reportada en 4% de las mesas observadas en la primera vuelta y en 7% en la segunda). Debería analizarse una disposición corriente en varios países de la región, que plantea que en el momento de cierre de la votación se atiende a todos los votantes que están en la fila para ejercer su derecho. De esta manera se podría conseguir algunas ganancias en los niveles de participación."
223,Electoral Organization,"La legislación prevé que los escrutinio distritales, municipales y auxiliares comiencen el martes siguiente a la elección. Ese plazo tuvo una razón de ser histórica, ligada a las dificultades para trasladar el material electoral, pero hoy carece de justificación técnica y se trata de un plazo innecesariamente largo, que se presta para susceptibilidades políticas, se aleja de la celeridad y certeza que debieran ofrecer las autoridades electorales para dar a conocer los resultados oficiales y puede complicar un escenario electoral ajustado. El proceso de escrutinio debiera comenzar antes, el mismo domingo como sería la situación ideal, de tal manera que el material electoral sea procesado con agilidad, mayor seguridad y menos conflictos."
223,Electoral Organization,"Ciertamente la capacitación de jurados demostró progresos en la elección presidencial pero ello no debe ocultar las debilidades estructurales. En efecto, la capacitación de los jurados ha demostrado serias limitaciones que afectan el desarrollo de un proceso bajo principios uniformes y estándares, garantía de igualdad ciudadana y de equidad para los partidos, así como de los resultados. La insuficiencia en la capacitación en la elección legislativa demuestra primero, la complejidad del sistema electoral, después la excesiva y complicada papelería que deben llenar los jurados y finalmente las fragilidades del trabajo de los organismos electorales en este aspecto. Se requiere una revisión detallada de las estrategias de capacitación, recuperando las mejores prácticas observadas en la elección presidencial, en particular el énfasis en las modalidades interactivas, con ejemplos concretos, y la necesidad de encontrar mecanismos para garantizar la asistencia de los jurados a los cursos."
223,Electoral Organization,"Los ciudadanos tuvieron dificultades para votar en un sistema altamente exigente como el de la elección legislativa, que incluía varias elecciones además de procedimientos de votación complejos por el voto preferente. Se trata de un sistema disuasivo para la ciudadanía en general y duro con los grupos con menores niveles de formación. En la elección legislativa casi un tercio de los votantes demostró dificultades para comprender cuándo, dónde o cómo debía votar. La muy elevada proporción de votos blancos, nulos y de tarjetas no marcadas en la elección del Parlamento Andino reflejó un cierto desinterés ciudadano, un escaso proselitismo partidario pero también una limitada información por parte de los organismos electorales sobre esa novedosa elección. En la elección presidencial, la situación mejoró, la claridad de la papeleta permitió que la inmensa mayoría de los votantes registrase sus preferencias sin inconvenientes. La Misión recomienda revisar las campañas de los organismos electorales para ofrecer una información adecuada, sencilla y clara a la ciudadanía."
223,Electoral Organization,"Se ha constatado que un gran número de recintos de votación no reúnen los requisitos mínimos para que la elección se desarrolle de manera adecuada: con comodidad en el ejercicio del voto; garantías para el secreto y por ende la libertad del sufragio; espacio conveniente para la labor de los jurados a lo largo de la jornada, y para el escrutinio que en muchos lugares se realiza en condiciones precarias. Corresponde que las autoridades electorales busquen los espacios más adecuados, privilegiando centros educativos o ambientes con aulas y/o cuartos techados tratando de reducir el uso de espacios al aire libre. Los vientos y la lluvia que cayó en muchos lugares durante la segunda vuelta presidencial pusieron en evidencia las complicaciones que derivan de trabajar en espacios abiertos."
223,"Electoral Organization, Electoral Technology","La cartografía electoral colombiana es en buena medida manual, no siempre actualizada y en algunos casos inexistente. Se observó que se desaprovechan las numerosas oportunidades que ofrece la tecnología en el campo de la cartografía electoral, que puede y debe convertirse en una herramienta útil de la planificación electoral, de la logística (entrega y recojo del material, ubicación sencilla y pronta de los recintos electorales, vinculación con las nuevas áreas de extensión poblacional) así como de la puesta en marcha de servicios suplementarios para la consulta ciudadana (ubicación de recintos, elaboración de mapas con datos demográficos y electorales, etc.). Se recomienda analizar la amplia experiencia acumulada en materia de geografía electoral en la región y examinar el tipo de tecnología en materia cartográfica que podría ser utilizada por los organismos electorales de Colombia."
